18/07/2025 17:28:11 |   5044 | INFO     | get_all_condominios            | Iniciando busca de todos os condomínios
18/07/2025 17:28:12 |   5044 | INFO     | get_all_condominios            | Página 1 processada. 50 condomínios encontrados.
18/07/2025 17:28:13 |   5044 | INFO     | get_all_condominios            | Página 2 processada. 50 condomínios encontrados.
18/07/2025 17:28:13 |   5044 | INFO     | get_all_condominios            | Página 3 processada. 50 condomínios encontrados.
18/07/2025 17:28:14 |   5044 | INFO     | get_all_condominios            | Página 4 processada. 50 condomínios encontrados.
18/07/2025 17:28:14 |   5044 | INFO     | get_all_condominios            | Página 5 processada. 50 condomínios encontrados.
18/07/2025 17:28:15 |   5044 | INFO     | get_all_condominios            | Página 6 processada. 50 condomínios encontrados.
18/07/2025 17:28:15 |   5044 | INFO     | get_all_condominios            | Página 7 processada. 50 condomínios encontrados.
18/07/2025 17:28:16 |   5044 | INFO     | get_all_condominios            | Página 8 processada. 50 condomínios encontrados.
18/07/2025 17:28:16 |   5044 | INFO     | get_all_condominios            | Página 9 processada. 50 condomínios encontrados.
18/07/2025 17:28:17 |   5044 | INFO     | get_all_condominios            | Página 10 processada. 50 condomínios encontrados.
18/07/2025 17:28:17 |   5044 | INFO     | get_all_condominios            | Página 11 processada. 50 condomínios encontrados.
18/07/2025 17:28:18 |   5044 | INFO     | get_all_condominios            | Página 12 processada. 50 condomínios encontrados.
18/07/2025 17:28:18 |   5044 | INFO     | get_all_condominios            | Página 13 processada. 50 condomínios encontrados.
18/07/2025 17:28:19 |   5044 | INFO     | get_all_condominios            | Página 14 processada. 11 condomínios encontrados.
18/07/2025 17:28:19 |   5044 | INFO     | get_all_condominios            | Busca de condomínios concluída. Total de 661 condomínios.
18/07/2025 17:28:19 |   5044 | INFO     | main                           | Iniciando a verificação de documentos para todos os condomínios
18/07/2025 17:43:49 |   5044 | ERROR    | get_codigo_from_enderecos      | [{'endereco': '', 'bairro': '0000', 'cep': '00000000', 'cidade': '0000000000000000000000000', 'uf': '00'}, {'endereco': 'PR ITAPEVI  19   101', 'bairro': 'MEIE', 'cep': 'R', 'cidade': '20730090RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA PROF. CASTILHO  360 403 B', 'bairro': 'L 3        CAMP', 'cep': 'O GRANDE', 'cidade': '23045060RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'AVENIDA TIM MAIA  7375 APTO 1', 'bairro': '05 BLO  7  RECR', 'cep': 'EIO DOS', 'cidade': 'BAN22790669RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA REVERENCIA  400 CASA 08', 'bairro': 'CURI', 'cep': 'CICA', 'cidade': '22780580RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA SIRACUSA, 179  AP 304', 'bairro': 'IRAJ', 'cep': 'A', 'cidade': '21361460RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA RACHEL DE QUEIROZ  100 LO', 'bairro': 'TE 52 QD 07BARR', 'cep': 'A DA TIJ', 'cidade': 'UCA22793100RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'AVENIDA IVO DO PRADO  N  1182', 'bairro': 'APTO 601SAO', 'cep': 'JOSE', 'cidade': '49015070ARACAJU', 'uf': 'S'}, {'endereco': 'AVENIDA IVO DO PRADO  N  1182', 'bairro': 'APTO 601SAO', 'cep': 'JOSE', 'cidade': '49015070ARACAJU', 'uf': 'S'}, {'endereco': 'AVENIDA IVO DO PRADO  N  1182', 'bairro': 'APTO 601SAO', 'cep': 'JOSE', 'cidade': '49015070ARACAJU', 'uf': 'S'}, {'endereco': 'RUA SIRACUSA, 179  AP 304', 'bairro': 'IRAJ', 'cep': 'A', 'cidade': '21361460RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA RACHEL DE QUEIROZ  100 LO', 'bairro': 'TE 52 QD 07BARR', 'cep': 'A DA TIJ', 'cidade': 'UCA22793100RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA LAGOA DAS GARCAS  120 APT', 'bairro': 'O 901      BARR', 'cep': 'A DA TIJ', 'cidade': 'UCA22793400RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'RUA LAGOA DAS GARCAS  120 APT', 'bairro': 'O 901      BARR', 'cep': 'A DA TIJ', 'cidade': 'UCA22793400RIO DE JANEIRO', 'uf': 'R'}, {'endereco': 'EST UNIAO INDUSTRIA  9090', 'bairro': 'ITAI', 'cep': 'PAVA', 'cidade': '25730735PETROPOLIS', 'uf': 'R'}, {'endereco': 'EST UNIAO INDUSTRIA  9090', 'bairro': 'ITAI', 'cep': 'PAVA', 'cidade': '25730735PETROPOLIS', 'uf': 'R'}, {'endereco': 'EST UNIAO INDUSTRIA  9090', 'bairro': 'ITAI', 'cep': 'PAVA', 'cidade': '25730735PETROPOLIS', 'uf': 'R'}, {'endereco': 'RUA MARIZ E BARROS  N  24 APT', 'bairro': 'O 501      ICAR', 'cep': 'AI', 'cidade': '24220121NITEROI', 'uf': 'R'}]
